X,Y,Z,U_exact,U_approx
-0.875,0.3333333333333333,0.0,0.173323,0.173321
-0.875,0.34375,0.0,0.170508,0.170507
-0.875,0.35416666666666663,0.0,0.167786,0.167784
-0.875,0.3645833333333333,0.0,0.165151,0.165149
-0.875,0.375,0.0,0.162598,0.162597
-0.875,0.38541666666666663,0.0,0.160125,0.160124
-0.875,0.3958333333333333,0.0,0.157727,0.157725
-0.875,0.40625,0.0,0.1554,0.155399
-0.875,0.41666666666666663,0.0,0.153141,0.15314
-0.875,0.4270833333333333,0.0,0.150948,0.150947
-0.875,0.4375,0.0,0.148816,0.148816
-0.875,0.44791666666666663,0.0,0.146744,0.146744
-0.875,0.4583333333333333,0.0,0.144728,0.144729
-0.875,0.46875,0.0,0.142766,0.142768
-0.875,0.47916666666666663,0.0,0.140856,0.140859
-0.875,0.4895833333333333,0.0,0.138996,0.139
-0.875,0.5,0.0,0.137183,0.137189
-0.8333333333333334,0.0,0.0,0.5,0.5
-0.8333333333333334,0.010416666666666666,0.0,0.481455,0.481455
-0.8333333333333334,0.020833333333333332,0.0,0.464323,0.464324
-0.8333333333333334,0.03125,0.0,0.448446,0.448446
-0.8333333333333334,0.041666666666666664,0.0,0.433686,0.433686
-0.8333333333333334,0.05208333333333333,0.0,0.419926,0.419927
-0.8333333333333334,0.0625,0.0,0.407066,0.407067
-0.8333333333333334,0.07291666666666666,0.0,0.395017,0.395018
-0.8333333333333334,0.08333333333333333,0.0,0.383702,0.383703
-0.8333333333333334,0.09375,0.0,0.373054,0.373055
-0.8333333333333334,0.10416666666666666,0.0,0.363014,0.363015
-0.8333333333333334,0.11458333333333333,0.0,0.35353,0.353531
-0.8333333333333334,0.125,0.0,0.344554,0.344555
-0.8333333333333334,0.13541666666666666,0.0,0.336047,0.336047
-0.8333333333333334,0.14583333333333331,0.0,0.32797,0.32797
-0.8333333333333334,0.15625,0.0,0.32029,0.320291
-0.8333333333333334,0.16666666666666666,0.0,0.312979,0.31298
-0.8333333333333334,0.17708333333333331,0.0,0.30601,0.30601
-0.8333333333333334,0.1875,0.0,0.299357,0.299357
-0.8333333333333334,0.19791666666666666,0.0,0.293,0.292999
-0.8333333333333334,0.20833333333333331,0.0,0.286918,0.286917
-0.8333333333333334,0.21875,0.0,0.281093,0.281092
-0.8333333333333334,0.22916666666666666,0.0,0.275508,0.275508
-0.8333333333333334,0.23958333333333331,0.0,0.27015,0.270149
-0.8333333333333334,0.25,0.0,0.265003,0.265002
-0.8333333333333334,0.26041666666666663,0.0,0.260054,0.260053
-0.8333333333333334,0.2708333333333333,0.0,0.255293,0.255292
-0.8333333333333334,0.28125,0.0,0.250708,0.250707
-0.8333333333333334,0.29166666666666663,0.0,0.24629,0.246288
-0.8333333333333334,0.3020833333333333,0.0,0.242028,0.242026
-0.8333333333333334,0.3125,0.0,0.237915,0.237913
-0.8333333333333334,0.32291666666666663,0.0,0.233943,0.23394
-0.8333333333333334,0.3333333333333333,0.0,0.230104,0.230101
-0.8333333333333334,0.34375,0.0,0.226391,0.226388
-0.8333333333333334,0.35416666666666663,0.0,0.222798,0.222795
-0.8333333333333334,0.3645833333333333,0.0,0.219319,0.219315
-0.8333333333333334,0.375,0.0,0.215949,0.215944
-0.8333333333333334,0.38541666666666663,0.0,0.212681,0.212676
-0.8333333333333334,0.3958333333333333,0.0,0.209512,0.209506
-0.8333333333333334,0.40625,0.0,0.206437,0.20643
-0.8333333333333334,0.41666666666666663,0.0,0.203451,0.203443
